time_s,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
1754150918.205477,0.220000,0.000000,0.000000,0.000000,0.000000,-0.100000
1754150918.305826,0.220000,0.000000,0.000000,0.000000,0.000000,-0.100000
1754150918.338121,0.220000,0.000000,0.000000,0.000000,0.000000,-0.150000
1754150918.438083,0.220000,0.000000,0.000000,0.000000,0.000000,-0.200000
1754150918.538814,0.220000,0.000000,0.000000,0.000000,0.000000,-0.200000
1754150918.639921,0.220000,0.000000,0.000000,0.000000,0.000000,-0.200000
1754150918.740503,0.220000,0.000000,0.000000,0.000000,0.000000,-0.200000
1754150918.840752,0.220000,0.000000,0.000000,0.000000,0.000000,-0.200000
1754150918.941204,0.220000,0.000000,0.000000,0.000000,0.000000,-0.200000
1754150919.041500,0.220000,0.000000,0.000000,0.000000,0.000000,-0.200000
1754150919.141877,0.220000,0.000000,0.000000,0.000000,0.000000,-0.200000
1754150919.235011,0.220000,0.000000,0.000000,0.000000,0.000000,-0.250000
1754150919.334778,0.220000,0.000000,0.000000,0.000000,0.000000,-0.300000
1754150919.435081,0.220000,0.000000,0.000000,0.000000,0.000000,-0.300000
1754150919.535450,0.220000,0.000000,0.000000,0.000000,0.000000,-0.300000
1754150919.635568,0.220000,0.000000,0.000000,0.000000,0.000000,-0.300000
1754150919.734056,0.220000,0.000000,0.000000,0.000000,0.000000,-0.350000
1754150919.764863,0.220000,0.000000,0.000000,0.000000,0.000000,-0.400000
1754150919.864811,0.220000,0.000000,0.000000,0.000000,0.000000,-0.450000
1754150919.965261,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150920.065727,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150920.166145,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150920.266360,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150920.366672,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150920.467016,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150920.567289,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150920.667581,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150920.768503,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150920.868869,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150920.969085,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150921.069639,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150921.169662,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150921.270041,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150921.370247,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150921.471874,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150921.571417,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150921.671702,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150921.772052,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150921.872293,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150921.972646,0.220000,0.000000,0.000000,0.000000,0.000000,-0.500000
1754150921.991762,0.220000,0.000000,0.000000,0.000000,0.000000,-0.450000
1754150922.092099,0.220000,0.000000,0.000000,0.000000,0.000000,-0.400000
1754150922.192342,0.220000,0.000000,0.000000,0.000000,0.000000,-0.400000
1754150922.292603,0.220000,0.000000,0.000000,0.000000,0.000000,-0.400000
1754150922.344652,0.220000,0.000000,0.000000,0.000000,0.000000,-0.350000
1754150922.445304,0.220000,0.000000,0.000000,0.000000,0.000000,-0.300000
1754150922.545470,0.220000,0.000000,0.000000,0.000000,0.000000,-0.300000
1754150922.645991,0.220000,0.000000,0.000000,0.000000,0.000000,-0.300000
1754150922.705086,0.220000,0.000000,0.000000,0.000000,0.000000,-0.250000
1754150922.805536,0.220000,0.000000,0.000000,0.000000,0.000000,-0.200000
1754150922.905789,0.220000,0.000000,0.000000,0.000000,0.000000,-0.200000
1754150922.955938,0.220000,0.000000,0.000000,0.000000,0.000000,-0.150000
1754150923.054235,0.220000,0.000000,0.000000,0.000000,0.000000,-0.100000
1754150923.154669,0.220000,0.000000,0.000000,0.000000,0.000000,-0.100000
1754150923.254976,0.220000,0.000000,0.000000,0.000000,0.000000,-0.100000
1754150923.265837,0.220000,0.000000,0.000000,0.000000,0.000000,-0.050000
1754150923.365967,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150923.466649,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150923.512257,0.220000,0.000000,0.000000,0.000000,0.000000,0.050000
1754150923.612672,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150923.713123,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150923.813479,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150923.913774,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150924.015347,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150924.115536,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150924.215593,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150924.296613,0.220000,0.000000,0.000000,0.000000,0.000000,0.050000
1754150924.398209,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150924.497051,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150924.597394,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150924.697722,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150924.798434,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150924.898601,0.220000,0.000000,0.000000,0.000000,0.000000,0.050000
1754150924.998280,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150925.098327,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150925.198892,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150925.298930,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150925.399277,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150925.499581,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150925.600729,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150925.700198,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150925.800453,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150925.901642,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150926.002145,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150926.102124,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150926.202416,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150926.241796,0.220000,0.000000,0.000000,0.000000,0.000000,0.150000
1754150926.342219,0.220000,0.000000,0.000000,0.000000,0.000000,0.200000
1754150926.442886,0.220000,0.000000,0.000000,0.000000,0.000000,0.200000
1754150926.544048,0.220000,0.000000,0.000000,0.000000,0.000000,0.200000
1754150926.626235,0.220000,0.000000,0.000000,0.000000,0.000000,0.150000
1754150926.726529,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150926.826890,0.220000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150926.866804,0.220000,0.000000,0.000000,0.000000,0.000000,0.050000
1754150926.967009,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150927.067616,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150927.167862,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150927.255886,0.220000,0.000000,0.000000,0.000000,0.000000,-0.050000
1754150927.356201,0.220000,0.000000,0.000000,0.000000,0.000000,-0.100000
1754150927.456581,0.220000,0.000000,0.000000,0.000000,0.000000,-0.100000
1754150927.557164,0.220000,0.000000,0.000000,0.000000,0.000000,-0.100000
1754150927.561113,0.220000,0.000000,0.000000,0.000000,0.000000,-0.150000
1754150927.660898,0.220000,0.000000,0.000000,0.000000,0.000000,-0.200000
1754150927.761271,0.220000,0.000000,0.000000,0.000000,0.000000,-0.200000
1754150927.861690,0.220000,0.000000,0.000000,0.000000,0.000000,-0.200000
1754150927.961919,0.220000,0.000000,0.000000,0.000000,0.000000,-0.200000
